unicode,sample,keywords,k_keywords
\U0001F600,😀,"face , grin , grinning face","얼굴, 미소, 환한 미소"
\U0001F603,😃,"face , grinning face with big eyes , mouth , open , smile","얼굴, 큰 눈으로 환한 미소 짓는 얼굴, 입, 열린 상태, 미소"
\U0001F604,😄,"eye , face , grinning face with smiling eyes , mouth , open , smile","눈, 얼굴, 미소 눈으로 환한 미소 짓는 얼굴, 입, 열린 상태, 미소"
\U0001F601,😁,"beaming face with smiling eyes , eye , face , grin , smile","눈으로 환한 미소 짓는 얼굴, 눈, 얼굴, 미소, 환한 미소"
\U0001F606,😆,"face , grinning squinting face , laugh , mouth , satisfied , smile","얼굴, 찡그린 얼굴, 웃음, 입, 만족한 상태, 미소"
\U0001F605,😅,"cold , face , grinning face with sweat , open , smile , sweat","차가운 얼굴, 얼굴, 땀을 흘리며 환한 미소 짓는 얼굴, 입, 미소, 땀"
\U0001F923,🤣,"face , floor , laugh , rofl , rolling , rolling on the floor laughing , rotfl","얼굴, 바닥, 웃음, 롤, 바닥에 굴러 웃음, 롤"
\U0001F602,😂,"face , face with tears of joy , joy , laugh , tear","얼굴, 눈물의 얼굴, 기쁨, 웃음, 눈물"
\U0001F642,🙂,"face , slightly smiling face , smile","얼굴, 약간 미소 짓는 얼굴, 미소"
\U0001F643,🙃,"face , upside-down","얼굴, 거꾸로"
\U0001FAE0,🫠,"disappear , dissolve , liquid , melt , melting face","사라지다, 녹다, 액체, 녹는 얼굴"
\U0001F609,😉,"face , wink , winking face","얼굴, 윙크, 윙크하는 얼굴"
\U0001F60A,😊,"blush , eye , face , smile , smiling face with smiling eyes","붉어지다, 눈, 얼굴, 미소, 환한 미소를 짓는 얼굴"
\U0001F607,😇,"angel , face , fantasy , halo , innocent , smiling face with halo","천사, 얼굴, 환상, 후광, 순결, 후광을 가진 미소 짓는 얼굴"
\U0001F970,🥰,"adore , crush , hearts , in love , smiling face with hearts","좋아하다, 마음이 빠지다, 심장, 사랑에 빠진 상태, 하트를 가진 미소 짓는 얼굴"
\U0001F60D,😍,"eye , face , love , smile , smiling face with heart-eyes","눈, 얼굴, 사랑, 미소, 하트 눈으로 환한 미소 짓는 얼굴"
\U0001F929,🤩,"eyes , face , grinning , star , star-struck , starry-eyed","눈, 얼굴, 미소, 별, 별에 반한 상태, 기쁨"
\U0001F618,😘,"face , face blowing a kiss , kiss","얼굴, 입으로 입 맞추는 얼굴, 입맞춤"
\U0001F617,😗,"face , kiss , kissing face","얼굴, 입으로 입 맞추는 얼굴"
\U000263A,☺,"face , outlined , relaxed , smile , smiling face","얼굴, 윤곽선, 편안한 상태, 미소, 미소 짓는 얼굴"
\U0001F61A,😚,"closed , eye , face , kiss , kissing face with closed eyes","눈 감은 상태, 눈, 얼굴, 입으로 입 맞추는 얼굴, 미소"
\U0001F619,😙,"eye , face , kiss , kissing face with smiling eyes , smile","눈, 얼굴, 입으로 입 맞추는 얼굴, 미소"
\U0001F972,🥲,"grateful , proud , relieved , smiling , smiling face with tear , tear , touched","고마운 마음, 자랑스러운 마음, 안심한 마음, 미소, 미소 짓는 눈물, 눈물, 감동"
\U0001F60B,😋,"delicious , face , face savoring food , savouring , smile , yum","맛있는, 얼굴, 음식 맛을 음미하는 얼굴, 미소, 맛있다"
\U0001F61B,😛,"face , face with tongue , tongue","얼굴, 혀를 내민 얼굴, 혀"
\U0001F61C,😜,"eye , face , joke , tongue , wink , winking face with tongue","눈, 얼굴, 장난, 혀, 윙크, 혀 내민 윙크하는 얼굴"
\U0001F92A,🤪,"eye , goofy , large , small , zany face","눈, 얼굴, 우스꽝스러운, 큰, 작은, 어리석은 얼굴"
\U0001F61D,😝,"eye , face , horrible , squinting face with tongue , taste , tongue","눈, 얼굴, 끔찍한, 혀를 내민 얼굴, 맛, 혀"
\U0001F911,🤑,"face , money , money-mouth face , mouth","얼굴, 돈, 돈으로 입을 막는 얼굴, 입"
\U0001F917,🤗,"face , hug , hugging , open hands , smiling face , smiling face with open hands","얼굴, 포옹, 포옹하는, 열린 손, 미소, 열린 손으로 미소 짓는 얼굴"
\U0001F92D,🤭,"face with hand over mouth , whoops , shock , sudden realization , surprise","입을 가린 얼굴, 저런, 충격, 갑작스러운 깨달음, 놀람"
\U0001FAE2,🫢,"amazement , awe , disbelief , embarrass , face with open eyes and hand over mouth , scared , surprise","놀람, 경외심, 믿지 못함, 당황, 눈을 떠 놀란 얼굴, 무서움, 놀람"
\U0001FAE3,🫣,"captivated , face with peeking eye , peep , stare","매료된, 훔쳐보는 눈을 가진 얼굴, 힐끔거리다, 응시"
